NOTE: NEW CODES ARE INTRODUCED IN OCTOBER AND OLD CODES ARE PHASED OUT IN SEPTEMBER.
'ICD-9-CM CODE','CCS CATEGORY','CCS CATEGORY DESCRIPTION','ICD-9-CM CODE DESCRIPTION'
'7891 ','161','OR Rx bone       ',"INSERT BONE STIMUL-CHEST (Begin 1987)"
'7892 ','161','OR Rx bone       ',"INSERT BONE STIM-HUMERUS (Begin 1987)"
'7893 ','161','OR Rx bone       ',"INSER BONE STIM-RAD/ULNA (Begin 1987)"
'7894 ','161','OR Rx bone       ',"INSER BONE STIM-META/CAR (Begin 1987)"
'7895 ','161','OR Rx bone       ',"INSERT BONE STIM-FEMUR (Begin 1987)"
'7896 ','161','OR Rx bone       ',"INSERT BONE STIM-PATELLA (Begin 1987)"
'7897 ','161','OR Rx bone       ',"INSER BONE STIM-TIB/FIB (Begin 1987)"
'7898 ','161','OR Rx bone       ',"INSER BONE STIM-META/TAR (Begin 1987)"
'7899 ','161','OR Rx bone       ',"INSERT BONE STIMUL NEC (Begin 1987)"
'8165 ','161','OR Rx bone       ',"VERTEBROPLASTY (Begin 2004)"
'8166 ','161','OR Rx bone       ',"KYPHOPLASTY (Begin 2004)"
'8471 ','161','OR Rx bone       ',"APP EXT FIX DEV-MONOPLAN (Begin 2005)"
'8472 ','161','OR Rx bone       ',"APP EXT FIX DEV-RING SYS (Begin 2005)"
'8473 ','161','OR Rx bone       ',"APP HYBRID EXT FIX DEV (Begin 2005)"
'8000 ','162','OR Rx joints     ',"ARTHROT & PROS REMOV NOS"
'8001 ','162','OR Rx joints     ',"ARTHROT/PROS REMOV-SHLDR"
'8002 ','162','OR Rx joints     ',"ARTHROT/PROS REMOV-ELBOW"
'8003 ','162','OR Rx joints     ',"ARTHROT/PROS REMOV-WRIST"
'8004 ','162','OR Rx joints     ',"ARTHROT/PROS REMOV-HAND"
'8005 ','162','OR Rx joints     ',"ARTHROT/PROS REMOV-HIP"
'8006 ','162','OR Rx joints     ',"ARTHROT/PROS REMOV-KNEE"
'8007 ','162','OR Rx joints     ',"ARTHROT/PROS REMOV-ANKLE"
'8008 ','162','OR Rx joints     ',"ARTHROT/PROS REMOV-FOOT"
'8009 ','162','OR Rx joints     ',"ARTHROT & PROS REMOV NEC"
'8010 ','162','OR Rx joints     ',"OTHER ARTHROTOMY NOS"
'8011 ','162','OR Rx joints     ',"OTH ARTHROTOMY-SHOULDER"
'8012 ','162','OR Rx joints     ',"OTH ARTHROTOMY-ELBOW"
'8013 ','162','OR Rx joints     ',"OTH ARTHROTOMY-WRIST"
'8014 ','162','OR Rx joints     ',"OTH ARTHROTOMY-HAND/FNGR"
'8015 ','162','OR Rx joints     ',"OTH ARTHROTOMY-HIP"
'8016 ','162','OR Rx joints     ',"OTH ARTHROTOMY-KNEE"
'8017 ','162','OR Rx joints     ',"OTH ARTHROTOMY-ANKLE"
'8018 ','162','OR Rx joints     ',"OTH ARTHROTOMY-FOOT/TOE"
'8019 ','162','OR Rx joints     ',"OTHER ARTHROTOMY NEC"
'8052 ','162','OR Rx joints     ',"CHEMONUCLEOLYSIS IV DISC (Begin 1986)"
'8070 ','162','OR Rx joints     ',"SYNOVECTOMY-SITE NOS"
'8071 ','162','OR Rx joints     ',"SHOULDER SYNOVECTOMY"
'8072 ','162','OR Rx joints     ',"ELBOW SYNOVECTOMY"
'8073 ','162','OR Rx joints     ',"WRIST SYNOVECTOMY"
'8074 ','162','OR Rx joints     ',"HAND SYNOVECTOMY"
'8075 ','162','OR Rx joints     ',"HIP SYNOVECTOMY"
'8076 ','162','OR Rx joints     ',"KNEE SYNOVECTOMY"
'8077 ','162','OR Rx joints     ',"ANKLE SYNOVECTOMY"
'8078 ','162','OR Rx joints     ',"FOOT SYNOVECTOMY"
'8079 ','162','OR Rx joints     ',"SYNOVECTOMY-SITE NEC"
'8080 ','162','OR Rx joints     ',"DESTRUCT JOINT LES NOS"
'8081 ','162','OR Rx joints     ',"DESTRUC-SHOULDER LES NEC"
'8082 ','162','OR Rx joints     ',"DESTRUC-ELBOW LESION NEC"
'8083 ','162','OR Rx joints     ',"DESTRUC-WRIST LESION NEC"
'8084 ','162','OR Rx joints     ',"DESTRUC-HAND JT LES NEC"
'8085 ','162','OR Rx joints     ',"DESTRUCT-HIP LESION NEC"
'8086 ','162','OR Rx joints     ',"DESTRUCT-KNEE LESION NEC"
'8087 ','162','OR Rx joints     ',"DESTRUC-ANKLE LESION NEC"
'8088 ','162','OR Rx joints     ',"DESTRUC-FOOT JT LES NEC"
'8089 ','162','OR Rx joints     ',"DESTRUCT JOINT LES NEC"
'8090 ','162','OR Rx joints     ',"EXCISION OF JOINT NOS"
'8091 ','162','OR Rx joints     ',"EXCISION OF SHOULDER NEC"
'8092 ','162','OR Rx joints     ',"EXCISION OF ELBOW NEC"
'8093 ','162','OR Rx joints     ',"EXCISION OF WRIST NEC"
'8094 ','162','OR Rx joints     ',"EXCISION HAND JOINT NEC"
'8095 ','162','OR Rx joints     ',"EXCISION OF HIP NEC"
'8096 ','162','OR Rx joints     ',"EXCISION OF KNEE NEC"
'8097 ','162','OR Rx joints     ',"EXCISION OF ANKLE NEC"
'8098 ','162','OR Rx joints     ',"EXCISION FOOT JOINT NEC"
'8099 ','162','OR Rx joints     ',"EXCISION OF JOINT NEC"
'8111 ','162','OR Rx joints     ',"ANKLE FUSION"
'8112 ','162','OR Rx joints     ',"TRIPLE ARTHRODESIS"
'8113 ','162','OR Rx joints     ',"SUBTALAR FUSION"
'8114 ','162','OR Rx joints     ',"MIDTARSAL FUSION"
'8115 ','162','OR Rx joints     ',"TARSOMETATARSAL FUSION"
'8116 ','162','OR Rx joints     ',"METATARSOPHALANGEAL FUS"
'8117 ','162','OR Rx joints     ',"OTHER FUSION OF FOOT"
'8118 ','162','OR Rx joints     ',"SUBTALR JT ARTHROEREISIS (Begin 2005)"
'8120 ','162','OR Rx joints     ',"ARTHRODESIS NOS"
'8121 ','162','OR Rx joints     ',"ARTHRODESIS OF HIP"
'8122 ','162','OR Rx joints     ',"ARTHRODESIS OF KNEE"
'8123 ','162','OR Rx joints     ',"ARTHRODESIS OF SHOULDER"
'8124 ','162','OR Rx joints     ',"ARTHRODESIS OF ELBOW"
'8125 ','162','OR Rx joints     ',"CARPORADIAL FUSION"
'8126 ','162','OR Rx joints     ',"METACARPOCARPAL FUSION"
'8127 ','162','OR Rx joints     ',"METACARPOPHALANGEAL FUS"
'8128 ','162','OR Rx joints     ',"INTERPHALANGEAL FUSION"
'8129 ','162','OR Rx joints     ',"ARTHRODESIS NEC"
'8140 ','162','OR Rx joints     ',"REPAIR OF HIP; NEC (Begin 1989)"
'8193 ','162','OR Rx joints     ',"SUTUR CAPSUL/LIGAMEN ARM"
'8194 ','162','OR Rx joints     ',"SUTURE CAPSUL/LIG ANK/FT"
'8195 ','162','OR Rx joints     ',"SUTUR CAPSUL/LIG LEG NEC"
'8196 ','162','OR Rx joints     ',"OTHER REPAIR OF JOINT"
'8198 ','162','OR Rx joints     ',"OTHER JOINT DX PROCEDURE"
'8199 ','162','OR Rx joints     ',"JOINT STRUCTURE OP NEC"
'7695 ','163','nOR muscskel     ',"TM MANIPULATION NEC"
'7696 ','163','nOR muscskel     ',"INJEC THERAP SBST TM JNT"
'8192 ','163','nOR muscskel     ',"INJECTION INTO JOINT"
'8441 ','163','nOR muscskel     ',"FIT UP ARM/SHOULD PROSTH"
'8442 ','163','nOR muscskel     ',"FIT LO ARM/HAND PROSTHES"
'8443 ','163','nOR muscskel     ',"FIT ARM PROSTHESIS NOS"
'8445 ','163','nOR muscskel     ',"FIT ABOVE KNEE PROSTHES"
'8446 ','163','nOR muscskel     ',"FIT BELOW KNEE PROSTHES"
'8447 ','163','nOR muscskel     ',"FIT LEG PROSTHESIS NOS"
'8452 ','163','nOR muscskel     ',"INSERT RECOMBINANT BONE MORPH PROTEIN (Begin 2002)"
'8453 ','163','nOR muscskel     ',"IMP LIMB LENGTH KINETIC (Begin 2004)"
'8454 ','163','nOR muscskel     ',"IMPL OTHER LIMB LENGTH (Begin 2004)"
'8455 ','163','nOR muscskel     ',"INS BONE VOID FILLER (Begin 2004)"
'8456 ','163','nOR muscskel     ',"INSERTION CEMENT SPACER (Begin 2005)"
'8457 ','163','nOR muscskel     ',"REMOVAL OF CEMENT SPACER (Begin 2005)"
'9711 ','163','nOR muscskel     ',"REPLACE UPPER LIMB CAST"
'9712 ','163','nOR muscskel     ',"REPLACE LOWER LIMB CAST"
'9713 ','163','nOR muscskel     ',"REPLACE CAST NEC"
'9714 ','163','nOR muscskel     ',"REPLAC M/S IMMOB DEV NEC"
'9736 ','163','nOR muscskel     ',"REMOVE EXT MAND FIX DEV"
'9788 ','163','nOR muscskel     ',"REMOV EXT IMMOBILIZATION"
'7609 ','164','OR muscskel      ',"FACIAL BONE INCISION NEC"
'7641 ','164','OR muscskel      ',"TOT MANDIBULEC W RECONST"
'7642 ','164','OR muscskel      ',"TOTAL MANDIBULECTOMY NEC"
'7643 ','164','OR muscskel      ',"MANDIBULAR RECONST NEC"
'7644 ','164','OR muscskel      ',"TOT FACE OSTECT W RECONS"
'7645 ','164','OR muscskel      ',"TOT FACE BONE OSTECT NEC"
'7646 ','164','OR muscskel      ',"FACIAL BONE RECONSTR NEC"
'765  ','164','OR muscskel      ',"TEMPOROMAND ARTHROPLASTY"
'7661 ','164','OR muscskel      ',"CL OSTEOPLASTY MAND RAMI"
'7662 ','164','OR muscskel      ',"OPEN OSTEOPLAS MAND RAMI"
'7663 ','164','OR muscskel      ',"OSTEOPLASTY MANDIBLE BDY"
'7664 ','164','OR muscskel      ',"MAND ORTHOGNATHIC OP NEC"
'7665 ','164','OR muscskel      ',"SEG OSTEOPLASTY MAXILLA"
'7666 ','164','OR muscskel      ',"TOT OSTEOPLASTY MAXILLA"
'7667 ','164','OR muscskel      ',"REDUCTION GENIOPLASTY"
'7668 ','164','OR muscskel      ',"AUGMENTATION GENIOPLASTY"
'7669 ','164','OR muscskel      ',"FACIAL BONE REPAIR NEC"
'7691 ','164','OR muscskel      ',"BONE GRAFT TO FACE BONE"
'7692 ','164','OR muscskel      ',"SYN IMPLANT TO FACE BONE"
'8400 ','164','OR muscskel      ',"UPPER LIMB AMPUTAT NOS"
'8401 ','164','OR muscskel      ',"FINGER AMPUTATION"
'8402 ','164','OR muscskel      ',"THUMB AMPUTATION"
'8403 ','164','OR muscskel      ',"AMPUTATION THROUGH HAND"
'8404 ','164','OR muscskel      ',"DISARTICULATION OF WRIST"
'8405 ','164','OR muscskel      ',"AMPUTATION THRU FOREARM"
'8406 ','164','OR muscskel      ',"DISARTICULATION OF ELBOW"
'8407 ','164','OR muscskel      ',"AMPUTATION THRU HUMERUS"
'8408 ','164','OR muscskel      ',"SHOULDER DISARTICULATION"
'8409 ','164','OR muscskel      ',"FOREQUARTER AMPUTATION"
'8421 ','164','OR muscskel      ',"THUMB REATTACHMENT"
'8422 ','164','OR muscskel      ',"FINGER REATTACHMENT"
'8423 ','164','OR muscskel      ',"FOREARM/WRIST/HAND REATT"
'8424 ','164','OR muscskel      ',"UPPER ARM REATTACHMENT"
'8425 ','164','OR muscskel      ',"TOE REATTACHMENT"
'8426 ','164','OR muscskel      ',"FOOT REATTACHMENT"
'8427 ','164','OR muscskel      ',"LOWER LEG/ANKLE REATTACH"
'8428 ','164','OR muscskel      ',"THIGH REATTACHMENT"
'8429 ','164','OR muscskel      ',"REATTACHMENT NEC"
'843  ','164','OR muscskel      ',"AMPUTATION STUMP REVIS"
'8440 ','164','OR muscskel      ',"IMPLNT/FIT PROS LIMB NOS"
'8444 ','164','OR muscskel      ',"IMPLANT ARM PROSTHESIS"
'8448 ','164','OR muscskel      ',"IMPLANT LEG PROSTHESIS"
'8491 ','164','OR muscskel      ',"AMPUTATION NOS"
'8492 ','164','OR muscskel      ',"SEPARAT EQUAL JOIN TWIN"
'8493 ','164','OR muscskel      ',"SEPARAT UNEQUL JOIN TWIN"
'8499 ','164','OR muscskel      ',"MUSCULOSKELETAL OP NEC"
'8511 ','165','Breast bx        ',"CLOSED BREAST BX"
'8512 ','165','Breast bx        ',"OPEN BREAST BX"
'8519 ','165','Breast bx        ',"BREAST DX PROCEDURE NEC"
'8520 ','166','Lumpectomy       ',"BREAST TISSU DESTRUC NOS"
'8521 ','166','Lumpectomy       ',"LOCAL EXCIS BREAST LES"
'8522 ','166','Lumpectomy       ',"QUADRANT RESECT BREAST"
'8523 ','166','Lumpectomy       ',"SUBTOTAL MASTECTOMY"
'8541 ','167','Mastectomy       ',"UNILAT SIMPLE MASTECTOMY"
'8542 ','167','Mastectomy       ',"BILAT SIMPLE MASTECTOMY"
'8543 ','167','Mastectomy       ',"UNILAT EXTEN SIMP MASTEC"
'8544 ','167','Mastectomy       ',"BILAT EXTEND SIMP MASTEC"
'8545 ','167','Mastectomy       ',"UNILAT RADICAL MASTECTOM"
'8546 ','167','Mastectomy       ',"BILAT RADICAL MASTECTOMY"
'8547 ','167','Mastectomy       ',"UNIL EXT RAD MASTECTOMY"
'8548 ','167','Mastectomy       ',"BIL EXTEN RAD MASTECTOMY"
'8604 ','168','I&D skin         ',"OTHER SKIN & SUBQ I & D"
'8622 ','169','Debrid wound     ',"WOUND DEBRIDEMENT (Begin 1988)"
'8628 ','169','Debrid wound     ',"NONEXCIS DEBRIDEMENT WND (Begin 1988)"
'863  ','170','Excis skin       ',"OTHER LOCAL DESTRUC SKIN"
'864  ','170','Excis skin       ',"RADICAL EXCIS SKIN LES"
'8651 ','171','Suture skin      ',"REPLANTATION OF SCALP"
'8659 ','171','Suture skin      ',"SKIN SUTURE NEC"
'8660 ','172','Skin graft       ',"FREE SKIN GRAFT NOS"
'8661 ','172','Skin graft       ',"FULL-THICK HAND SKIN GRF"
'8662 ','172','Skin graft       ',"HAND SKIN GRAFT NEC"
'8663 ','172','Skin graft       ',"FULL-THICK SKIN GRFT NEC"
'8664 ','172','Skin graft       ',"HAIR TRANSPLANT"
'8665 ','172','Skin graft       ',"HETEROGRAFT TO SKIN"
'8666 ','172','Skin graft       ',"HOMOGRAFT TO SKIN"
'8667 ','172','Skin graft       ',"DERMAL REGENERATIVE GRAFT (Begin 1998)"
'8669 ','172','Skin graft       ',"FREE SKIN GRAFT NEC"
'8670 ','172','Skin graft       ',"PEDICLE GRAFT/FLAP NOS"
'8671 ','172','Skin graft       ',"CUT & PREP PEDICLE GRAFT"
'8672 ','172','Skin graft       ',"PEDICLE GRAFT ADVANCEMEN"
'8673 ','172','Skin graft       ',"ATTACH PEDICLE TO HAND"
'8674 ','172','Skin graft       ',"ATTACH PEDICLE GRAFT NEC"
'8675 ','172','Skin graft       ',"REVISION OF PEDICLE GRFT"
'8611 ','173','Ot Dx skin       ',"SKIN & SUBQ BIOPSY"
'8619 ','173','Ot Dx skin       ',"SKIN & SUBQ DX PROC NEC"
'850  ','174','nOR Rx skin      ',"MASTOTOMY"
'8551 ','174','nOR Rx skin      ',"UNIL BREAST INJEC-AUGMEN"
'8552 ','174','nOR Rx skin      ',"BIL BREAST INJEC-AUGMENT"
'8581 ','174','nOR Rx skin      ',"SUTURE BREAST LACERATION"
'8591 ','174','nOR Rx skin      ',"ASPIRATION OF BREAST"
'8592 ','174','nOR Rx skin      ',"BREAST INJECTION"
'8601 ','174','nOR Rx skin      ',"ASPIRATION SKIN & SUBQ"
'8602 ','174','nOR Rx skin      ',"SKIN DEFECT TATTOOING"
'8603 ','174','nOR Rx skin      ',"INCISION PILONIDAL SINUS"
'8605 ','174','nOR Rx skin      ',"SKIN INCIS & FB REMOVAL"
'8607 ','174','nOR Rx skin      ',"INSERT VASC ACCESS DEV (Begin 1990)"
'8609 ','174','nOR Rx skin      ',"SKIN & SUBQ INCISION NEC"
'8623 ','174','nOR Rx skin      ',"NAIL REMOVAL"
'8624 ','174','nOR Rx skin      ',"SKIN CHEMOSURGERY"
'8626 ','174','nOR Rx skin      ',"LIGATION DERMAL APPENDAG"
'8627 ','174','nOR Rx skin      ',"DEBRIDEMENT OF NAIL (Begin 1986)"
'8692 ','174','nOR Rx skin      ',"EPILATION OF SKIN"
'8699 ','174','nOR Rx skin      ',"SKIN & SUBQ OP NEC"
'8524 ','175','OR Rx skin       ',"EXC ECTOPIC BREAST TISSU"
'8525 ','175','OR Rx skin       ',"EXCISION OF NIPPLE"
'8531 ','175','OR Rx skin       ',"UNILAT REDUCT MAMMOPLAST"
'8532 ','175','OR Rx skin       ',"BILAT REDUCT MAMMOPLASTY"
'8533 ','175','OR Rx skin       ',"UNIL SUBQ MAMMECT-IMPLNT"
'8534 ','175','OR Rx skin       ',"UNILAT SUBQ MAMMECT NEC"
'8535 ','175','OR Rx skin       ',"BIL SUBQ MAMMECT-IMPLANT"
'8536 ','175','OR Rx skin       ',"BILAT SUBQ MAMMECTOM NEC"
'8550 ','175','OR Rx skin       ',"AUGMENT MAMMOPLASTY NOS"
'8553 ','175','OR Rx skin       ',"UNILAT BREAST IMPLANT"
'8554 ','175','OR Rx skin       ',"BILATERAL BREAST IMPLANT"
'8555 ','175','OR Rx skin       ',"Fat graft to breast (Begin 2010)"
'856  ','175','OR Rx skin       ',"MASTOPEXY"
'857  ','175','OR Rx skin       ',"TOTAL BREAST RECONSTRUCT (End 2008)"
'8570 ','175','OR Rx skin       ',"TOTL RECONSTC BREAST NOS (Begin 2008)"
'8571 ','175','OR Rx skin       ',"LATISS DORSI MYOCUT FLAP (Begin 2008)"
'8572 ','175','OR Rx skin       ',"TRAM FLAP"
'8573 ','175','OR Rx skin       ',"TRAM FLAP"
'8574 ','175','OR Rx skin       ',"DIEP FLAP"
'8575 ','175','OR Rx skin       ',"SIEA FLAP"
'8576 ','175','OR Rx skin       ',"GAP FLAP"
'8579 ','175','OR Rx skin       ',"TOTL RECONST BREAST NEC (Begin 2008)"
'8582 ','175','OR Rx skin       ',"BREAST SPLIT-THICK GRAFT"
'8583 ','175','OR Rx skin       ',"BREAST FULL-THICK GRAFT"
'8584 ','175','OR Rx skin       ',"BREAST PEDICLE GRAFT"
'8585 ','175','OR Rx skin       ',"BREAST MUSCLE FLAP GRAFT"
'8586 ','175','OR Rx skin       ',"TRANSPOSITION OF NIPPLE"
'8587 ','175','OR Rx skin       ',"NIPPLE REPAIR NEC"
'8589 ','175','OR Rx skin       ',"MAMMOPLASTY NEC"
'8593 ','175','OR Rx skin       ',"BREAST IMPLANT REVISION"
'8594 ','175','OR Rx skin       ',"BREAST IMPLANT REMOVAL"
'8595 ','175','OR Rx skin       ',"INS BRST TIS EXPAN (Begin 1987)"
'8596 ','175','OR Rx skin       ',"REM BRST TIS EXPAN (Begin 1987)"
'8599 ','175','OR Rx skin       ',"BREAST OPERATION NEC"
'8606 ','175','OR Rx skin       ',"INSERT INFUSION PUMP (Begin 1987)"
'8621 ','175','OR Rx skin       ',"EXCISION OF PILONID CYST"
'8625 ','175','OR Rx skin       ',"DERMABRASION"
'8681 ','175','OR Rx skin       ',"REPAIR FACIAL WEAKNESS"
'8682 ','175','OR Rx skin       ',"FACIAL RHYTIDECTOMY"
'8683 ','175','OR Rx skin       ',"SIZE REDUCT PLASTIC OP"
'8684 ','175','OR Rx skin       ',"RELAXATION OF SCAR"
'8685 ','175','OR Rx skin       ',"SYNDACTYLY CORRECTION"
'8686 ','175','OR Rx skin       ',"ONYCHOPLASTY"
'8687 ','175','OR Rx skin       ',"Fat grft skin/subq tiss (Begin 2010)"
'8689 ','175','OR Rx skin       ',"SKIN REPAIR & PLASTY NEC"
'8690 ','175','OR Rx skin       ',"Ext fat for grft/banking (Begin 2010)"
'8691 ','175','OR Rx skin       ',"SKIN EXCISION FOR GRAFT"
'8693 ','175','OR Rx skin       ',"INSERT TISSUE EXPANDER (Begin 1987)"
'335  ','176','Ot orgn tran     ',"LUNG TRANSPLANT (End 1995)"
'3350 ','176','Ot orgn tran     ',"LUNG TRANSPL NOS (Begin 1995)"
'3351 ','176','Ot orgn tran     ',"UNILAT LUNG TRANSPL (Begin 1995)"
'3352 ','176','Ot orgn tran     ',"BILAT LUNG TRANSPL (Begin 1995)"
'336  ','176','Ot orgn tran     ',"COMB HEART/LUNG TRANSPLA (Begin 1990)"
'375  ','176','Ot orgn tran     ',"HEART TRANSPLANTATION (End 2003)"
'3751 ','176','Ot orgn tran     ',"HEART TRANSPLANTATION (Begin 2003)"
'4194 ','176','Ot orgn tran     ',"SPLEEN TRANSPLANTATION"
'4697 ','176','Ot orgn tran     ',"TRANSPLANT OF INTESTINE (Begin 2000)"
'5051 ','176','Ot orgn tran     ',"AUXILIARY LIVER TRANSPL"
'5059 ','176','Ot orgn tran     ',"LIVER TRANSPLANT NEC"
'5280 ','176','Ot orgn tran     ',"PANCREAT TRANSPLANT NOS"
'5281 ','176','Ot orgn tran     ',"REIMPLANT PANCREATIC TIS"
'5282 ','176','Ot orgn tran     ',"PANCREATIC HOMOTRANSPLAN"
'5283 ','176','Ot orgn tran     ',"PANCREATIC HETEROTRANSPL"
'5284 ','176','Ot orgn tran     ',"AUTOTRANS ISLET CELLS (Begin 1996)"
'5285 ','176','Ot orgn tran     ',"ALLOTRANS ISLET CELLS (Begin 1996)"
'5286 ','176','Ot orgn tran     ',"TRANSPL ISLET CELLS NOS (Begin 1996)"
'8703 ','177','CT head          ',"C.A.T. SCAN OF HEAD"
'8741 ','178','CT chest         ',"C.A.T. SCAN OF THORAX"
'8801 ','179','CT abdomen       ',"C.A.T. SCAN OF ABDOMEN"
'0031 ','180','Ot CT scan       ',"CAS W CT/CTA (Begin 2004)"
'8771 ','180','Ot CT scan       ',"C.A.T. SCAN OF KIDNEY"
'8838 ','180','Ot CT scan       ',"OTHER C.A.T. SCAN"
'8721 ','181','Myelogram        ',"CONTRAST MYELOGRAM"
'8736 ','182','Mammography      ',"BREAST XEROGRAPHY"
'8737 ','182','Mammography      ',"MAMMOGRAPHY NEC"
'8744 ','183','Routine CXR      ',"ROUTINE CHEST X-RAY"
'8753 ','184','IntraOR chol     ',"INTRAOPER CHOLANGIOGRAM"
'8761 ','185','UGI x-ray        ',"BARIUM SWALLOW"
'8762 ','185','UGI x-ray        ',"UPPER GI SERIES"
'8764 ','186','LGI x-ray        ',"LOWER GI SERIES"
'8773 ','187','IVP              ',"INTRAVENOUS PYELOGRAM"
'8841 ','188','Cereb arter      ',"CONTR CEREBR ARTERIOGRAM"
'8842 ','189','Aortogram        ',"CONTRAST AORTOGRAM"
'8848 ','190','Leg arteriog     ',"CONTRAST ARTERIOGRAM-LEG"
'8840 ','191','Ot arterio       ',"CONTRAST ARTERIOGRAM NOS"
'8843 ','191','Ot arterio       ',"CONTR PULMON ARTERIOGRAM"
'8844 ','191','Ot arterio       ',"CONTR THOR ARTERIOGR NEC"
'8845 ','191','Ot arterio       ',"CONTRAST RENAL ARTERIOGR"
'8846 ','191','Ot arterio       ',"CONTRAST PLACENTOGRAM"
'8847 ','191','Ot arterio       ',"CONTR ABD ARTERIOGRM NEC"
'8849 ','191','Ot arterio       ',"CONTRAST ARTERIOGRAM NEC"
'8850 ','191','Ot arterio       ',"ANGIOCARDIOGRAPHY NOS"
'8851 ','191','Ot arterio       ',"VENA CAV ANGIOCARDIOGRAM"
'8858 ','191','Ot arterio       ',"NEGATVE-CONTR CARDIOGRAM"
'8860 ','191','Ot arterio       ',"CONTRAST PHLEBOGRAM NOS"
'8861 ','191','Ot arterio       ',"CONTR PHLEBOGRAM-HD/NECK"
'8862 ','191','Ot arterio       ',"CONTR PHLEBOGRAM-PULMON"
'8863 ','191','Ot arterio       ',"THORAC CONTR PHLEBOG NEC"
'8864 ','191','Ot arterio       ',"PORTAL CONTR PHLEBOGRAM"
'8865 ','191','Ot arterio       ',"ABD CONTR PHLEBOGRAM NEC"
'8866 ','191','Ot arterio       ',"CONTRAST PHLEBOGRAM-LEG"
'8867 ','191','Ot arterio       ',"CONTRAST PHLEBOGRAM NEC"
'8868 ','191','Ot arterio       ',"IMPEDANCE PHLEBOGRAM"
'0021 ','192','Dx US head       ',"IVUS EXTRACRAN CEREB VES (Begin 2004)"
'8871 ','192','Dx US head       ',"DX ULTRASOUND-HEAD/NECK"
'0024 ','193','Echocardiogr     ',"IVUS CORONARY VESSELS (Begin 2004)"
'8872 ','193','Echocardiogr     ',"DX ULTRASOUND-HEART"
'8874 ','194','Dx US GI         ',"DX ULTRASOUND-DIGESTIVE"
'0025 ','195','Dx US urin       ',"IVUS RENAL VESSELS (Begin 2004)"
'8875 ','195','Dx US urin       ',"DX ULTRASOUND-URINARY"
'8876 ','196','Dx US abd        ',"DX ULTRASOUND-ABDOMEN"
'0022 ','197','Ot Dx US         ',"IVUS INTRATHORACIC VES (Begin 2004)"
'0023 ','197','Ot Dx US         ',"IVUS PERIPHERAL VESSELS (Begin 2004)"
'0028 ','197','Ot Dx US         ',"INTRAVASCUL IMAGING NEC (Begin 2004)"
'0029 ','197','Ot Dx US         ',"INTRAVASCUL IMAGING NOS (Begin 2004)"
'8873 ','197','Ot Dx US         ',"DX ULTRASOUND-THORAX NEC"
'8877 ','197','Ot Dx US         ',"DX ULTRASOUND-VASCULAR"
'8878 ','197','Ot Dx US         ',"DX ULTRASOUND-GRAV UTER"
'8879 ','197','Ot Dx US         ',"DX ULTRASOUND NEC"
'0032 ','198','MRI              ',"CAS W MR/MRA (Begin 2004)"
'8891 ','198','MRI              ',"MRI OF BRAIN & BRAINSTEM (Begin 1986)"
'8892 ','198','MRI              ',"MRI CHEST & HEART (Begin 1986)"
'8893 ','198','MRI              ',"MRI SPINAL CANAL (Begin 1986)"
'8894 ','198','MRI              ',"MRI MUSCULOSKELETAL (Begin 1986)"
'8895 ','198','MRI              ',"MRI PELVIS;PROSTATE;BLAD (Begin 1986)"
'8896 ','198','MRI              ',"OTH INTRAOPERTVE MAGNC RESONANCE IMGING (Begin 2002)"
'8897 ','198','MRI              ',"MAGNETIC RES IMAGE UNSP (Begin 1989)"
'8899 ','198','MRI              ',"MRI OTH UNSPEC (Begin 1986 End 1989)"
'8914 ','199','EEG              ',"ELECTROENCEPHALOGRAM"
'8929 ','200','Nonop urin       ',"OTHER GU SYSTEM EXAMS"
'8941 ','201','Stress tests     ',"TREADMILL STRESS TEST"
'8942 ','201','Stress tests     ',"MASTERS  2-STEP TEST"
'8943 ','201','Stress tests     ',"BICYCLE ERGOMETER TEST"
'8944 ','201','Stress tests     ',"CARDIAC STRESS TEST NEC"
'8951 ','202','EKG              ',"RHYTHM ELECTROCARDIOGRAM"
'8952 ','202','EKG              ',"ELECTROCARDIOGRAM"
'8954 ','203','EKG monitor      ',"ELECTROCARDIOGRAPH MONIT"
'8964 ','204','Swan-Ganz        ',"PULMON ART WEDGE MONITOR"
'8960 ','205','ABG              ',"-CONT INTRA-ART BLD GAS MEASURE (Begin 2002)"
'8965 ','205','ABG              ',"ARTERIAL BLD GAS MEASURE"
'9001 ','206','Bacter smear     ',"BACT SMEAR-NERVOUS SYST"
'9002 ','206','Bacter smear     ',"CULTURE-NERVOUS SYST"
'9003 ','206','Bacter smear     ',"C & S-NERVOUS SYST"
'9004 ','206','Bacter smear     ',"PARASITOLOGY-NERV SYST"
'9005 ','206','Bacter smear     ',"TOXICOLOGY-NERVOUS SYST"
'9006 ','206','Bacter smear     ',"CELL BLK/PAP-NERVOUS SYS"
'9009 ','206','Bacter smear     ',"MICRO EXAM-NERVOUS NEC"
'9011 ','206','Bacter smear     ',"BACT SMEAR-ENDOCRINE"
'9012 ','206','Bacter smear     ',"CULTURE-ENDOCRINE"
'9013 ','206','Bacter smear     ',"C & S-ENDOCRINE"
'9014 ','206','Bacter smear     ',"PARASITOLOGY-ENDOCRINE"
'9015 ','206','Bacter smear     ',"TOXICOLOGY-ENDOCRINE"
